β. град.,cos(β),σcos(β),ν,δ,ν₁,ν₃,σν₃
114,-0.4067366430758,0.0159443761025018,0.0357142857142857,0.35,0.876456264162906,0.0407485087101249,0.0339702414598898
103,-0.224951054343865,0.0170059657633728,0.217391304347826,0.15,0.673562321079551,0.322748612183951,0.0834410666770599
95,-0.0871557427476582,0.0173868774726118,0.272727272727273,0.1,0.574959574576069,0.474341649025257,0.138474868680921
87,0.052335956242944,0.0174293733891265,0.302325581395349,0.105263157894737,0.587087047901807,0.514958697310444,0.148366342028178
80,0.17364817766693,0.0171881377892301,0.333333333333333,0.526315789473684,0.950624051868291,0.350646854219839,0.0597677485739594
70,0.342020143325669,0.0164007301894086,0.441860465116279,0.105263157894737,0.587087047901807,0.752631942222956,0.202036827468903
60,0.5,0.0151149947019518,0.466666666666667,0.105263157894737,0.587087047901807,0.794884963540736,0.210013142514117
50,0.642787609686539,0.0133699977490326,0.565217391304348,0.157894736842105,0.686348585024614,0.823513595914353,0.162198194192356
40,0.766044443118978,0.0112187601800543,0.63265306122449,0.263157894736842,0.812232862067414,0.778906014236076,0.11242909125229
30,0.866025403784439,0.00872664625997165,0.655172413793103,0.473684210526316,0.934049773615859,0.701432013903097,0.0748413244803569
25,0.90630778703665,0.00737608014643039,0.650793650793651,0.55,0.956928837044602,0.680085734278397,0.0651762448133095
15,0.965925826289068,0.00451724450390669,0.630769230769231,0.6,0.968245836551854,0.651455660285145,0.0606861586595786
